rfobscd,agcnm,obsnm,addr,etcaddr,lon,lat,links,시도명,시군구명
10044286,한국수력원자력,후영교,충청북도 괴산군 청천면,후영리 499,127.81222222222222,36.70472222222222,[],충청북도,괴산군
10054010,환경부,원주시(법천교),강원도 원주시,부론면 법천리 법천교,127.75416666666666,37.20444444444445,[],강원도,원주시
10054020,환경부,충주시(엄정면사무소),충청북도 충주시,엄정면 내창로 185 엄정면행정복지센터,127.915,37.08638888888889,[],충청북도,충주시
10054030,환경부,충주시(용대리),충청북도 충주시,앙성면 용대리 485-1,127.75166666666667,37.08694444444445,[],충청북도,충주시
10064010,환경부,원주,강원도 원주시, ,127.95,37.35,[],강원도,원주시
10064020,환경부,횡성군(횡성군청),강원도 횡성군,횡성읍 태기로 15 횡성군청,127.985,37.492222222222225,[],강원도,횡성군
10064030,환경부,양평군(양동주민자치센터),경기도 양평군,양동면 학둔지아래길 24 양동주민자치센터,127.75138888888888,37.42444444444444,[],경기도,양평군
10064040,환경부,횡성군(청일면사무소),강원도 횡성군,청일면 유동로 17 청일면행정복지센터,128.15027777777777,37.58388888888889,[],강원도,횡성군
10064050,환경부,원주시(지정면사무소),강원도 원주시,지정면 간현로 126 지정면사무소,127.83972222222222,37.36222222222222,[],강원도,원주시
10064060,환경부,원주시(문막교),강원도 원주시,문막읍 문막리 문막교,127.81027777777777,37.305,[],강원도,원주시
10064070,환경부,원주시(서곡초교),강원도 원주시,판부면 용수골길 159 서곡초등학교,127.93944444444445,37.29833333333333,[],강원도,원주시
10064080,환경부,횡성군(우항리),강원도 횡성군,우천면 우항리 658-3,128.0652777777778,37.461666666666666,[],강원도,횡성군
10064090,환경부,원주시(흥양초교),강원도 원주시,소초면 하초구길 6 흥양초등학교,127.99777777777778,37.38055555555555,[],강원도,원주시
10064100,한국수자원공사,횡성군(춘당리),강원도 횡성군,청일면 춘당2리 653,128.15166666666667,37.60611111111111,[],강원도,횡성군
10064110,한국수자원공사,횡성군(갑천리),강원도 횡성군,청일면 갑천리 303-1,128.18416666666667,37.57138888888889,[],강원도,횡성군
10064120,한국수자원공사,횡성군(횡성댐),강원도 횡성군,갑천면 대관대리 산37번지,128.0338888888889,37.544444444444444,[],강원도,횡성군
10074010,환경부,양평군(양평교),경기도 양평군,양평읍 양근리 양평대교,127.49,37.48638888888889,[],경기도,양평군
10074020,환경부,장호원,경기도 이천군 장호원읍,창전리 읍사무소,127.61666666666666,37.016666666666666,[],경기도,이천군
10074030,환경부,여주시(여주대교),경기도 여주시,상동 여주대교,127.64805555555556,37.29555555555555,[],경기도,여주시
10074040,환경부,양평군(청운면사무소),경기도 양평군,청운면 용두로 170 청운면사무소,127.71055555555556,37.55638888888888,[],경기도,양평군
10074050,환경부,음성군(생극면사무소),충청북도 음성군,생극면 음성로 1646 생극면행정복지센터,127.60694444444444,37.034166666666664,[],충청북도,음성군
10074060,환경부,이천시(이천남초교),경기도 이천시,경충대로 2614번길 32 이천남초등학교,127.44472222222223,37.27638888888889,[],경기도,이천시
10074070,환경부,여주시(금당초교),경기도 여주시,가남읍 가남로 649 금당초등학교,127.60527777777777,37.1975,[],경기도,여주시
10074080,환경부,안성시(삼죽초교),경기도 안성시,삼죽면 삼죽초교길 20 삼죽초등학교,127.37444444444444,37.07666666666667,[],경기도,안성시
10074090,환경부,이천시(장천초교),경기도 이천시,설성면 설성로 164-25 장천초등학교,127.5275,37.145833333333336,[],경기도,이천시
10074100,환경부,여주시(주암리),경기도 여주시,북내면 주암길225-3 (구)주암분교,127.67944444444444,37.39722222222222,[],경기도,여주시
10074110,환경부,광주시(검천리),경기도 광주시,남종면 검천리362,127.34222222222222,37.530833333333334,[],경기도,광주시
10074120,환경부,여주시(상품중교),경기도 여주시,산북면 상품1길 28 상품중학교,127.43944444444445,37.401944444444446,[],경기도,여주시
10074170,한국수력원자력,흑천,경기도 양평군,양평읍 원덕리,127.54305555555555,37.46416666666667,[],경기도,양평군
10074175,한국수력원자력,남한강,경기도 여주군,강천면 이호리,127.68666666666667,37.183055555555555,[],경기도,여주군
10094010,한국수자원공사,화천군(평화의댐),강원도 화천군,화천읍 동촌리,127.84833333333333,38.20944444444445,[],강원도,화천군
10094020,한국수자원공사,화천군(풍산리),강원도 화천군 화천읍,풍산리 산 268,127.81388888888888,38.28527777777778,[],강원도,화천군
10104010,환경부,화천군(화천군청),강원도 화천군,화천읍 화천새싹길 45 화천군청,127.70833333333334,38.10583333333334,[],강원도,화천군
10104020,환경부,화천군(다목초교),강원도 화천군,상서면 다파로 9-4 다목초등학교,127.53611111111111,38.17583333333333,[],강원도,화천군
10104030,환경부,양구군(방산초교),강원도 양구군,방산면 평화로 5121-7 방산초등학교,127.94305555555556,38.21027777777778,[],강원도,양구군
10104040,환경부,화천군(명월리),강원도 화천군,사내면 명월리 221-2,127.53083333333333,38.125277777777775,[],강원도,화천군
10104048,한국수력원자력,화천댐,강원도 화천군,간동면 어룡동길 42,127.7611111111111,38.09861111111111,[],강원도,화천군
10104050,환경부,화천군(화천댐),강원도 화천군,간동면 구만리 화천댐,127.77722222222222,38.1175,[],강원도,화천군
10104060,환경부,양구군(금악리),강원도 양구군,방산면 금악리 484-4,127.93138888888889,38.19333333333333,[],강원도,양구군
10104070,환경부,춘천시(지촌초교),강원도 춘천시,사북면 지촌길 130 지촌초등학교,127.64527777777778,38.0375,[],강원도,춘천시
10104080,환경부,화천군(상승초교),강원도 화천군,상서면 평촌길 126-30 상승초등학교,127.64944444444446,38.158055555555556,[],강원도,화천군
10104082,한국수력원자력,춘천댐,강원도 춘천시,신북읍 영서로 3741,127.66944444444445,37.967222222222226,[],강원도,춘천시
10104170,한국수력원자력,수입천,강원도 양구군,방산면 오미리,127.90138888888889,38.183055555555555,[],강원도,양구군
10104171,한국수력원자력,양구서천,강원도 양구군,양구읍 하리,127.98416666666667,38.10777777777778,[],강원도,양구군
10104172,한국수력원자력,용신교, ,강원도 화천군 화천읍 상리,127.70444444444445,38.10888888888889,[],,
10104173,한국수력원자력,지촌천,강원도 춘천시,사북면 지촌리,127.63694444444445,38.10888888888889,[],강원도,춘천시
10104174,한국수력원자력,약수교,강원도 양구군 동면,후곡리 699 약수교,128.04305555555555,38.1675,[],강원도,양구군
10114020,환경부,용대,강원도 인제군 북면,용대2통1반1106(용대초교),128.33083333333332,38.19305555555555,[],강원도,인제군
10114030,한국수자원공사,인제군(서성초교),강원도 인제군,서화면 금강로 1801-42 서성초등학교,128.21027777777778,38.26,[],강원도,인제군
10114040,한국수자원공사,인제군(한계초교),강원도 인제군,북면 한계리 1044 한계초교,128.2577777777778,38.14111111111111,[],강원도,인제군
10114050,환경부,인제군(백담산장),강원도 인제군,북면 백담로 805 백담산장,128.3752777777778,38.15972222222222,[],강원도,인제군
10114060,환경부,장수대,강원도 인제군 북면,한계3 장수대관리소,128.3438888888889,38.11694444444444,[],강원도,인제군
10114070,한국수자원공사,인제군(덕적리),강원도 인제군,인제읍 덕적리 73-1,128.2863888888889,38.07166666666667,[],강원도,인제군
10114080,한국수자원공사,인제군(용대초교),강원도 인제군,북면 용대리 1025-1 용대초교,128.32972222222222,38.19555555555555,[],강원도,인제군
10124020,환경부,인제군(신남중교),강원도 인제군,남면 신남로 47-35 신남중학교,128.08055555555555,37.971111111111114,[],강원도,인제군
10124050,한국수자원공사,춘천시(추곡초교),강원도 춘천시 북산면,추곡리 562,127.88361111111112,38.02222222222222,[],강원도,춘천시
10124060,한국수자원공사,인제군(남전리),강원도 인제군 남면,남전리 549-3,128.14638888888888,38.03361111111111,[],강원도,인제군
10124080,한국수자원공사,인제군(현리),강원도 인제군,기린면 현리 46-2,128.3361111111111,37.94611111111111,[],강원도,인제군
10124090,한국수자원공사,홍천군(창촌리),강원도 홍천군,내면 창촌리 1733-1,128.38111111111112,37.76583333333333,[],강원도,홍천군
10124110,환경부,인제군(진동리),강원도 인제군,기린면 진동리 649-1,128.4127777777778,37.964444444444446,[],강원도,인제군
10124120,환경부,홍천군(명개리),강원도 홍천군,내면 명개리 163-3,128.50333333333333,37.85,[],강원도,홍천군
10124130,한국수자원공사,인제군(신남리),강원도 인제군,남면 신남리 508-5,128.07583333333332,37.967222222222226,[],강원도,인제군
10124140,한국수자원공사,인제군(상남초교),강원도 인제군,상남면 상남리 107 상남초교,128.26194444444445,37.873333333333335,[],강원도,인제군
10124150,한국수자원공사,인제군(귀둔리),강원도 인제군,인제읍 귀둔리 34-1,128.39416666666665,38.01138888888889,[],강원도,인제군
10124160,한국수자원공사,홍천군(명개리2),강원도 홍천군,내면 명개리 162-1,128.50861111111112,37.84777777777778,[],강원도,홍천군
10124170,환경부,춘천시(천전리),강원도 춘천시,신북읍 천전리61-20,127.78972222222222,37.930277777777775,[],강원도,춘천시
10124175,한국수력원자력,지내천,강원도 춘천시,동면 지내리 양정교,127.78166666666667,37.92194444444444,[],강원도,춘천시
10124180,한국수자원공사,춘천시(소양강댐),강원도 춘천시 신북읍,천전리 산4,127.825,37.939166666666665,[],강원도,춘천시
10134010,환경부,춘천시(소양2교),강원도 춘천시,근화동 소양2교,127.7225,37.893055555555556,[],강원도,춘천시
10134020,환경부,가평군(가평교),경기도 가평군,가평읍 읍내리 가평교,127.51805555555555,37.831388888888895,[],경기도,가평군
